animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,processed_time
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,2026-04-21T18:15:18.734Z
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-21T18:15:18.734Z
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-04-21T18:15:18.734Z
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,2026-04-21T18:15:18.734Z
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-21T18:15:18.734Z
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-21T18:15:18.734Z
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,2026-04-21T18:15:18.734Z
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,2026-04-21T18:15:18.734Z
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,2026-04-21T18:15:18.734Z
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,2026-04-21T18:15:18.734Z
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,2026-04-21T18:15:18.734Z
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2026-04-21T18:15:18.734Z
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-21T18:15:18.734Z
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2026-04-21T18:15:18.734Z
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,2026-04-21T18:15:18.734Z
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2026-04-21T18:15:18.734Z
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2026-04-21T18:15:18.734Z
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-21T18:15:18.734Z
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2026-04-21T18:15:18.734Z
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,2026-04-21T18:15:18.734Z
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,2026-04-21T18:15:18.734Z
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2026-04-21T18:15:18.734Z
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,2026-04-21T18:15:18.734Z
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,2026-04-21T18:15:18.734Z
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,2026-04-21T18:15:18.734Z
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2026-04-21T18:15:18.734Z
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2026-04-21T18:15:18.734Z
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2026-04-21T18:15:18.734Z
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-21T18:15:18.734Z
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2026-04-21T18:15:18.734Z
